title,authors,genre,subjects,avg_rating,ratings_count,year,pages,isbn,source,content,publication_year,cluster
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,forever and forever the courtship of henry longfellow and fanny appleton unknown historical fiction historical fiction,,1
A Flight of Arrows (The Pathfinders #2),Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,a flight of arrows the pathfinders unknown historical fiction historical fiction,,1
The House by the Lake,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,the house by the lake unknown historical fiction historical fiction,,1
Mrs. Houdini,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,mrs houdini unknown historical fiction historical fiction,,1
The Marriage of Opposites,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,the marriage of opposites unknown historical fiction historical fiction,,1
Glory over Everything: Beyond The Kitchen House,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,glory over everything beyond the kitchen house unknown historical fiction historical fiction,,1
"Love, Lies and Spies",Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,love lies and spies unknown historical fiction historical fiction,,1
A Paris Apartment,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,a paris apartment unknown historical fiction historical fiction,,1
Lilac Girls,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,lilac girls unknown historical fiction historical fiction,,1
The Constant Princess (The Tudor Court #1),Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,the constant princess the tudor court unknown historical fiction historical fiction,,1
The Invention of Wings,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,the invention of wings unknown historical fiction historical fiction,,1
World Without End (The Pillars of the Earth #2),Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,world without end the pillars of the earth unknown historical fiction historical fiction,,1
The Passion of Dolssa,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,the passion of dolssa unknown historical fiction historical fiction,,1
Girl With a Pearl Earring,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,girl with a pearl earring unknown historical fiction historical fiction,,1
Voyager (Outlander #3),Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,voyager outlander unknown historical fiction historical fiction,,1
The Red Tent,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,the red tent unknown historical fiction historical fiction,,1
The Last Painting of Sara de Vos,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,the last painting of sara de vos unknown historical fiction historical fiction,,1
The Guernsey Literary and Potato Peel Pie Society,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,the guernsey literary and potato peel pie society unknown historical fiction historical fiction,,1
Girl in the Blue Coat,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,girl in the blue coat unknown historical fiction historical fiction,,1
Between Shades of Gray,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,between shades of gray unknown historical fiction historical fiction,,1
While You Were Mine,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,while you were mine unknown historical fiction historical fiction,,1
The Secret Healer,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,the secret healer unknown historical fiction historical fiction,,1
Starlark,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,starlark unknown historical fiction historical fiction,,1
Lost Among the Living,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,lost among the living unknown historical fiction historical fiction,,1
A Spy's Devotion (The Regency Spies of London #1),Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,a spy s devotion the regency spies of london unknown historical fiction historical fiction,,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,scott pilgrim s precious little life scott pilgrim unknown sequential art sequential art,,9
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,tsubasa world chronicle tsubasa world chronicle unknown sequential art sequential art,,9
This One Summer,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,this one summer unknown sequential art sequential art,,9
The Nameless City (The Nameless City #1),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,the nameless city the nameless city unknown sequential art sequential art,,9
"Saga, Volume 5 (Saga (Collected Editions) #5)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,saga volume saga collected editions unknown sequential art sequential art,,9
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,rat queens vol demons rat queens collected editions unknown sequential art sequential art,,9
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,princess jellyfish in omnibus vol princess jellyfish in omnibus unknown sequential art sequential art,,9
"Pop Gun War, Volume 1: Gift",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,pop gun war volume gift unknown sequential art sequential art,,9
Patience,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,patience unknown sequential art sequential art,,9
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,outcast vol a darkness surrounds him outcast unknown sequential art sequential art,,9
orange: The Complete Collection 1 (orange: The Complete Collection #1),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,orange the complete collection orange the complete collection unknown sequential art sequential art,,9
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,lumberjanes vol friendship to the max lumberjanes unknown sequential art sequential art,,9
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,lumberjanes vol beware the kitten holy lumberjanes unknown sequential art sequential art,,9
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,lumberjanes vol a terrible plan lumberjanes unknown sequential art sequential art,,9
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,i hate fairyland vol madly ever after i hate fairyland compilations unknown sequential art sequential art,,9
I am a Hero Omnibus Volume 1,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,i am a hero omnibus volume unknown sequential art sequential art,,9
"Giant Days, Vol. 2 (Giant Days #5-8)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,giant days vol giant days unknown sequential art sequential art,,9
Danganronpa Volume 1,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,danganronpa volume unknown sequential art sequential art,,9
"Codename Baboushka, Volume 1: The Conclave of Death",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,codename baboushka volume the conclave of death unknown sequential art sequential art,,9
Camp Midnight,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,camp midnight unknown sequential art sequential art,,9
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,bitch planet vol extraordinary machine bitch planet collected editions unknown sequential art sequential art,,9
The Shadow Hero (The Shadow Hero),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,the shadow hero the shadow hero unknown sequential art sequential art,,9
"Fables, Vol. 1: Legends in Exile (Fables #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,fables vol legends in exile fables unknown sequential art sequential art,,9
Batman: The Long Halloween (Batman),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,batman the long halloween batman unknown sequential art sequential art,,9
Batman: The Dark Knight Returns (Batman),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,batman the dark knight returns batman unknown sequential art sequential art,,9
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,wonder woman earth one volume one wonder woman earth one unknown sequential art sequential art,,9
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,we are robin vol the vigilante business we are robin unknown sequential art sequential art,,9
Through the Woods,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,through the woods unknown sequential art sequential art,,9
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,superman vol before truth superman by gene luen yang unknown sequential art sequential art,,9
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,so cute it hurts vol so cute it hurts unknown sequential art sequential art,,9
Robin War,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,robin war unknown sequential art sequential art,,9
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,red hood arsenal vol open for business red hood arsenal unknown sequential art sequential art,,9
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,naruto in edition vol includes vols naruto omnibus unknown sequential art sequential art,,9
Lowriders to the Center of the Earth (Lowriders in Space #2),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,lowriders to the center of the earth lowriders in space unknown sequential art sequential art,,9
El Deafo,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,el deafo unknown sequential art sequential art,,9
Batman: Europa,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,batman europa unknown sequential art sequential art,,9
Art Ops Vol. 1,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,art ops vol unknown sequential art sequential art,,9
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,adulthood is a myth a sarah s scribbles collection unknown sequential art sequential art,,9
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,fruits basket vol fruits basket unknown sequential art sequential art,,9
Roller Girl,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,roller girl unknown sequential art sequential art,,9
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,fruits basket vol fruits basket unknown sequential art sequential art,,9
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,fruits basket vol fruits basket unknown sequential art sequential art,,9
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,death note vol give and take death note unknown sequential art sequential art,,9
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,fruits basket vol fruits basket unknown sequential art sequential art,,9
"Death Note, Vol. 5: Whiteout (Death Note #5)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,death note vol whiteout death note unknown sequential art sequential art,,9
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,the demon prince of momochi house vol the demon prince of momochi house unknown sequential art sequential art,,9
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,fruits basket vol fruits basket unknown sequential art sequential art,,9
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,the wicked the divine vol commercial suicide the wicked the divine unknown sequential art sequential art,,9
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,the sandman vol dream country the sandman volumes unknown sequential art sequential art,,9
"Saga, Volume 3 (Saga (Collected Editions) #3)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,saga volume saga collected editions unknown sequential art sequential art,,9
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,prodigy the graphic novel legend the graphic novel unknown sequential art sequential art,,9
Persepolis: The Story of a Childhood (Persepolis #1-2),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,persepolis the story of a childhood persepolis unknown sequential art sequential art,,9
Original Fake,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,original fake unknown sequential art sequential art,,9
"Grayson, Vol 3: Nemesis (Grayson #3)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,grayson vol nemesis grayson unknown sequential art sequential art,,9
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,fruits basket vol fruits basket unknown sequential art sequential art,,9
"Black Butler, Vol. 1 (Black Butler #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,black butler vol black butler unknown sequential art sequential art,,9
Awkward,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,awkward unknown sequential art sequential art,,9
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,the sandman vol the doll s house the sandman volumes unknown sequential art sequential art,,9
"Saga, Volume 2 (Saga (Collected Editions) #2)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,saga volume saga collected editions unknown sequential art sequential art,,9
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,fruits basket vol fruits basket unknown sequential art sequential art,,9
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,y the last man vol unmanned y the last man unknown sequential art sequential art,,9
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,the wicked the divine vol the faust act the wicked the divine unknown sequential art sequential art,,9
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,the sandman vol preludes and nocturnes the sandman volumes unknown sequential art sequential art,,9
The Complete Maus (Maus #1-2),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,the complete maus maus unknown sequential art sequential art,,9
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,skip beat vol skip beat unknown sequential art sequential art,,9
"Saga, Volume 1 (Saga (Collected Editions) #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,saga volume saga collected editions unknown sequential art sequential art,,9
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,rat queens vol sass sorcery rat queens collected editions unknown sequential art sequential art,,9
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,paper girls vol paper girls unknown sequential art sequential art,,9
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,ouran high school host club vol ouran high school host club unknown sequential art sequential art,,9
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,ms marvel vol no normal ms marvel unknown sequential art sequential art,,9
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,hawkeye vol my life as a weapon hawkeye unknown sequential art sequential art,,9
"Giant Days, Vol. 1 (Giant Days #1-4)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,giant days vol giant days unknown sequential art sequential art,,9
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,fruits basket vol fruits basket unknown sequential art sequential art,,9
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,bleach vol strawberry and the soul reapers bleach unknown sequential art sequential art,,9
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,ajin demi human volume ajin demi human unknown sequential art sequential art,,9
The Secret Garden,Unknown,Classics,Classics,,,,,,WebScraping,the secret garden unknown classics classics,,5
The Metamorphosis,Unknown,Classics,Classics,,,,,,WebScraping,the metamorphosis unknown classics classics,,5
The Pilgrim's Progress,Unknown,Classics,Classics,,,,,,WebScraping,the pilgrim s progress unknown classics classics,,5
The Hound of the Baskervilles (Sherlock Holmes #5),Unknown,Classics,Classics,,,,,,WebScraping,the hound of the baskervilles sherlock holmes unknown classics classics,,5
Little Women (Little Women #1),Unknown,Classics,Classics,,,,,,WebScraping,little women little women unknown classics classics,,5
Gone with the Wind,Unknown,Classics,Classics,,,,,,WebScraping,gone with the wind unknown classics classics,,5
Candide,Unknown,Classics,Classics,,,,,,WebScraping,candide unknown classics classics,,5
Animal Farm,Unknown,Classics,Classics,,,,,,WebScraping,animal farm unknown classics classics,,5
Wuthering Heights,Unknown,Classics,Classics,,,,,,WebScraping,wuthering heights unknown classics classics,,5
The Picture of Dorian Gray,Unknown,Classics,Classics,,,,,,WebScraping,the picture of dorian gray unknown classics classics,,5
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Unknown,Classics,Classics,,,,,,WebScraping,the complete stories and poems the works of edgar allan poe cameo edition unknown classics classics,,5
Beowulf,Unknown,Classics,Classics,,,,,,WebScraping,beowulf unknown classics classics,,5
And Then There Were None,Unknown,Classics,Classics,,,,,,WebScraping,and then there were none unknown classics classics,,5
The Story of Hong Gildong,Unknown,Classics,Classics,,,,,,WebScraping,the story of hong gildong unknown classics classics,,5
The Little Prince,Unknown,Classics,Classics,,,,,,WebScraping,the little prince unknown classics classics,,5
Sense and Sensibility,Unknown,Classics,Classics,,,,,,WebScraping,sense and sensibility unknown classics classics,,5
Of Mice and Men,Unknown,Classics,Classics,,,,,,WebScraping,of mice and men unknown classics classics,,5
Emma,Unknown,Classics,Classics,,,,,,WebScraping,emma unknown classics classics,,5
Alice in Wonderland (Alice's Adventures in Wonderland #1),Unknown,Classics,Classics,,,,,,WebScraping,alice in wonderland alice s adventures in wonderland unknown classics classics,,5
Sophie's World,Unknown,Philosophy,Philosophy,,,,,,WebScraping,sophie s world unknown philosophy philosophy,,7
The Death of Humanity: and the Case for Life,Unknown,Philosophy,Philosophy,,,,,,WebScraping,the death of humanity and the case for life unknown philosophy philosophy,,7
The Stranger,Unknown,Philosophy,Philosophy,,,,,,WebScraping,the stranger unknown philosophy philosophy,,7
Proofs of God: Classical Arguments from Tertullian to Barth,Unknown,Philosophy,Philosophy,,,,,,WebScraping,proofs of god classical arguments from tertullian to barth unknown philosophy philosophy,,7
Kierkegaard: A Christian Missionary to Christians,Unknown,Philosophy,Philosophy,,,,,,WebScraping,kierkegaard a christian missionary to christians unknown philosophy philosophy,,7
"At The Existentialist Caf: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Unknown,Philosophy,Philosophy,,,,,,WebScraping,at the existentialist caf freedom being and apricot cocktails with jean paul sartre simone de beauvoir albert camus martin heidegger edmund husserl karl jaspers maurice merleau ponty and others unknown philosophy philosophy,,7
Critique of Pure Reason,Unknown,Philosophy,Philosophy,,,,,,WebScraping,critique of pure reason unknown philosophy philosophy,,7
"Run, Spot, Run: The Ethics of Keeping Pets",Unknown,Philosophy,Philosophy,,,,,,WebScraping,run spot run the ethics of keeping pets unknown philosophy philosophy,,7
The Nicomachean Ethics,Unknown,Philosophy,Philosophy,,,,,,WebScraping,the nicomachean ethics unknown philosophy philosophy,,7
Meditations,Unknown,Philosophy,Philosophy,,,,,,WebScraping,meditations unknown philosophy philosophy,,7
Beyond Good and Evil,Unknown,Philosophy,Philosophy,,,,,,WebScraping,beyond good and evil unknown philosophy philosophy,,7
Chase Me (Paris Nights #2),Unknown,Romance,Romance,,,,,,WebScraping,chase me paris nights unknown romance romance,,5
Black Dust,Unknown,Romance,Romance,,,,,,WebScraping,black dust unknown romance romance,,5
Her Backup Boyfriend (The Sorensen Family #1),Unknown,Romance,Romance,,,,,,WebScraping,her backup boyfriend the sorensen family unknown romance romance,,5
First and First (Five Boroughs #3),Unknown,Romance,Romance,,,,,,WebScraping,first and first five boroughs unknown romance romance,,5
Fifty Shades Darker (Fifty Shades #2),Unknown,Romance,Romance,,,,,,WebScraping,fifty shades darker fifty shades unknown romance romance,,5
The Wedding Dress,Unknown,Romance,Romance,,,,,,WebScraping,the wedding dress unknown romance romance,,5
Suddenly in Love (Lake Haven #1),Unknown,Romance,Romance,,,,,,WebScraping,suddenly in love lake haven unknown romance romance,,5
Something More Than This,Unknown,Romance,Romance,,,,,,WebScraping,something more than this unknown romance romance,,5
Doing It Over (Most Likely To #1),Unknown,Romance,Romance,,,,,,WebScraping,doing it over most likely to unknown romance romance,,5
The Wedding Pact (The O'Malleys #2),Unknown,Romance,Romance,,,,,,WebScraping,the wedding pact the o malleys unknown romance romance,,5
Hold Your Breath (Search and Rescue #1),Unknown,Romance,Romance,,,,,,WebScraping,hold your breath search and rescue unknown romance romance,,5
Dirty (Dive Bar #1),Unknown,Romance,Romance,,,,,,WebScraping,dirty dive bar unknown romance romance,,5
Take Me Home Tonight (Rock Star Romance #3),Unknown,Romance,Romance,,,,,,WebScraping,take me home tonight rock star romance unknown romance romance,,5
